model,epoch,train_loss,train_acc,test_loss,test_acc
MyRNN,1,0.691477,0.506800,0.694625,0.492495
MyRNN,2,0.695565,0.506800,0.699000,0.502814
MyRNN,3,0.692013,0.501758,0.695924,0.493433
MyRNN,4,0.695010,0.506682,0.694512,0.529081
MyRNN,5,0.695956,0.502227,0.698097,0.508443
MyRNN,6,0.688085,0.511020,0.695702,0.500000
MyRNN,7,0.687904,0.515240,0.697435,0.496248
MyRNN,8,0.690063,0.510434,0.708979,0.485929
MyRNN,9,0.685460,0.523564,0.703654,0.514071
MyRNN,10,0.681884,0.527198,0.703919,0.497186
MyRNN,11,0.680296,0.515709,0.702153,0.496248
MyRNN,12,0.679423,0.515123,0.704378,0.495310
MyRNN,13,0.682200,0.531067,0.695214,0.527205
MyRNN,14,0.681538,0.514771,0.713895,0.494371
MyRNN,15,0.680055,0.513599,0.712049,0.501876
MyRNN,16,0.676843,0.514302,0.711939,0.505629
MyRNN,17,0.684046,0.514420,0.699759,0.515009
MyRNN,18,0.680445,0.515475,0.698466,0.514071
MyRNN,19,0.681077,0.518875,0.701058,0.510319
MyRNN,20,0.683410,0.507855,0.705516,0.493433
MyLSTM,1,0.691460,0.505275,0.692854,0.501876
MyLSTM,2,0.685718,0.530246,0.693114,0.504690
MyLSTM,3,0.691293,0.510785,0.694145,0.496248
MyLSTM,4,0.683679,0.514537,0.694421,0.495310
MyLSTM,5,0.678975,0.519812,0.695771,0.500938
MyLSTM,6,0.608686,0.669871,0.696469,0.587242
MyLSTM,7,0.370843,0.858851,0.689259,0.651970
MyLSTM,8,0.225632,0.923916,0.810934,0.663227
MyLSTM,9,0.124422,0.961782,0.975450,0.666041
MyLSTM,10,0.084329,0.974912,1.160047,0.665103
MyLSTM,11,0.048594,0.986987,1.286713,0.668856
MyLSTM,12,0.046481,0.987339,1.443271,0.666979
MyLSTM,13,0.028885,0.992497,1.525515,0.667917
MyLSTM,14,0.025308,0.993200,1.471316,0.678236
MyLSTM,15,0.022327,0.994373,1.662389,0.660413
MyLSTM,16,0.015078,0.996366,1.756705,0.668856
MyLSTM,17,0.012619,0.996249,1.741565,0.666041
MyLSTM,18,0.007564,0.998242,1.724066,0.684803
MyLSTM,19,0.004489,0.999062,1.920476,0.692308
MyLSTM,20,0.004328,0.999062,1.934844,0.686679
MyGRU,1,0.690551,0.511254,0.692324,0.495310
MyGRU,2,0.682994,0.524267,0.693890,0.500938
MyGRU,3,0.407566,0.820985,0.638472,0.666041
MyGRU,4,0.199075,0.941852,0.600271,0.697936
MyGRU,5,0.080626,0.975381,0.742154,0.720450
MyGRU,6,0.030294,0.992966,0.940633,0.721388
MyGRU,7,0.018291,0.995311,1.079381,0.705441
MyGRU,8,0.006661,0.998007,1.258449,0.717636
MyGRU,9,0.013105,0.995897,1.472981,0.707317
MyGRU,10,0.006580,0.998007,1.456838,0.710131
MyGRU,11,0.005258,0.998593,1.812787,0.700750
MyGRU,12,0.009429,0.997069,1.757751,0.689493
MyGRU,13,0.006590,0.998476,1.539209,0.690432
MyGRU,14,0.008976,0.997773,1.646825,0.704503
MyGRU,15,0.004278,0.999179,1.508617,0.703565
MyGRU,16,0.001406,0.999766,1.846804,0.701689
MyGRU,17,0.005560,0.998945,1.746465,0.709193
MyGRU,18,0.004220,0.998593,1.786282,0.718574
MyGRU,19,0.001444,0.999648,1.818214,0.700750
MyGRU,20,0.000617,1.000000,1.876130,0.698874
